0	1	2	3	4	5	6	7	8	9	10
二手房出售，非诚勿扰	安置小区	北山口镇-镇中心	住宅	2室2厅1卫	90平米	中等装修	4/5	南北通透	10年	2667元/平米
尚城华府精装107万元拎包入住	尚城华府	巩义东区-中心	公寓	3室2厅2卫	143平米	豪华装修	/18		0年	7483元/平米
恒星花园出售两室两厅精装75万	恒星皇家花园	巩义东区-中心	公寓	2室1厅1卫	92平米	简单装修	33/7		0年	8152元/平米
出租建新街三室一厅房子	城建局家属楼	巩义市区-中心	公寓	3室2厅1卫	100平米	中等装修	3/6		0年	面议/平米
出租汽车站对面宇华福苑临街门面133平米	宇华福苑	巩义市区-中心	商铺	1室1厅1卫	133平米	毛坯	1/28		0年	面议/平米
出租汽车站对面宇华福苑临街门面133平米	宇华福苑	巩义市区-中心	商铺	1室1厅1卫	133平米	毛坯	1/28		0年	面议/平米
市区3层住宅小楼有证带独立大车库	人民路西 西陵北巷	巩义市区-中心	公寓	6室3厅2卫	300平米	豪华装修	3/1		0年	2400元/平米
文化街 14万元 60㎡	文化街	巩义市区-中心	公寓	2室1厅1卫	60平米	简单装修	3/4		0年	2333元/平米
东方现代城首付26万	东方现代城南苑	巩义东区-中心	公寓	2室2厅1卫	90平米	毛坯	22/10		0年	6778元/平米
低首付个人急售紫荆花苑复式4室2厅3卫，有证可按揭	紫荆花园	巩义市区-中心	公寓	4室2厅3卫	167平米	中等装修	/		0年	4311元/平米
首付33万！名仕豪居116平三室！地暖已铺好！	名仕豪居	巩义市区-周边	公寓	3室2厅1卫	116平米	简单装修	/20		0年	5000元/平米
急售名士豪居双气电梯房三室两厅一卫58万		巩义市区-中心	住宅	3室2厅1卫	116平米	毛坯	16/8		0年	5000元/平米
出售东方现代城南苑92平方两室两厅毛坯57万	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	92平米	毛坯	20/22		0年	6196元/平米
出售外贸公司家属楼三室两厅114平方有证	外贸公司家属楼	巩义市区-中心	住宅	3室2厅1卫	114平米	简单装修	5/6		13年	4912元/平米
华树对面拖厂家属楼3室1厅1卫21万元	拖厂南苑	巩义市区-中心	住宅	3室1厅1卫	63平米	简单装修	4/5	南北	1995年	3333元/平米
出售家福园精装房	家福园	巩义东区-中心	住宅	3室2厅2卫	141平米	豪华装修	7/15	南北	2010年	7092元/平米
低价出售陇海路家属院三室两厅一卫127平米31万中等装修		巩义市区-中心	住宅	3室2厅1卫	127平米	简单装修	7/7	南北	2000年	2520元/平米
建业，最好的房产，可以分期，首付20万	建业壹号城邦	巩义东区-中心	住宅	3室2厅2卫	124平米	毛坯	31/33	南北	2016年	6976元/平米
名士豪居 116平毛坯三室售价57万首付30万月供1756元	名仕豪居	巩义市区-周边	住宅	3室2厅1卫	116平米	毛坯	10/10	南北	2015年	4914元/平米
月供2366元，首付50万左右 大三室 装修即可入住	世博一品城	巩义东区-中心	住宅	3室2厅2卫	120平米	毛坯	低/26	南北	2016年	6833元/平米
5900一平方 首付52万东方现代城北苑 学 区房园林小区	东方现代城北苑	巩义东区-中心	住宅	3室2厅2卫	136平米	毛坯	高/24	南北	2015年	5882元/平米
能改名 恒星花园130平 首付40W 三室两卫 南北通透	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	130平米	毛坯	高/26	南北	2016年	6846元/平米
出售滨河花苑电梯两室售价62万首付19万，首付19万。	滨河花苑	巩义东区-中心	住宅	2室2厅1卫	94平米	毛坯	中/11	南北	2008年	6596元/平米
现房首付45万南北通透恒星花园三室两厅两卫131平，仅售88	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	131平米	毛坯	高/33	南北	2014年	6718元/平米
市区好房出售		巩义市区-中心	住宅	3室1厅1卫	120平米	中等装修	3/6	坐北朝南	18年	2917元/平米
城市嘉苑3室2厅2卫68万元精装拎包入住	城市嘉苑	巩义市区-中心	住宅	3室2厅2卫	118平米	豪华装修	7/11	南北	2009年	5763元/平米
出售东方现代城稀缺南北通透两室户型中间楼层新装修未住人	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	95平米	中等装修	8/24	南北	年	6526元/平米
首付49万建业壹号城邦3室2厅2卫86万元	建业壹号城邦	巩义东区-中心	住宅	3室2厅2卫	125平米	豪华装修	31/31	南北	2016年	6880元/平米
名仕豪居3室2厅1卫首付33万月供1700	名仕豪居	巩义市区-周边	住宅	3室2厅1卫	116.6平米	毛坯	8/10	南北	2010年	4974元/平米
东方现代城2室2厅1卫有证可分期价格便宜	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	98平米	豪华装修	11/12	南北	2010年	6633元/平米
朗曼新城3室2厅2卫毛坯现房中间楼层	朗曼新城	巩义东区-中心	住宅	3室2厅2卫	132平米	毛坯	11/26	南北	2015年	6667元/平米
东方现代城首付26万	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	90平米	毛坯	10/26	南	2016年	6778元/平米
康店庄头小区房屋出售		巩义市区-中心	住宅	2室2厅1卫	99平米	简单装修	6/6		2012年	面议/平米
建设路畜牧局后农行家属楼四室一厅108平米27万卖		巩义市区-中心	住宅	4室1厅1卫	108平米	毛坯	4/6	南北	2000年	2500元/平米
尚城华府3室2厅1卫78万元	尚城华府	巩义东区-中心	住宅	3室2厅1卫	115平米	豪华装修	9/17	南	2014年	6783元/平米
均价6200！首付36万！恒星皇家花园好户型！	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	133平米	毛坯	中/33	南北	2014年	6165元/平米
有证可按揭！格兰名家94平户型超赞随时看房	格兰名家	巩义东区-中心	住宅	2室2厅1卫	94平米	毛坯	12/18	南北	2014年	6915元/平米
东方现代城首付26万	东方现代城北苑	巩义东区-中心	住宅	2室2厅1卫	90平米	毛坯	10/26	南	2016年	6778元/平米
朗曼现房4室165平5400元㎡一手房免过户	朗曼新城	巩义东区-中心	住宅	4室2厅2卫	165平米	毛坯	中/26	南北	2016年	5394元/平米
低价出售陇海路家属院三室两厅一卫127平米31万中等装修		巩义市区-中心	住宅	3室2厅1卫	127平米	中等装修	6/6	南北	2000年	2441元/平米
出售人民西路面粉厂家属院一楼两室两厅		巩义市区-中心	住宅	2室2厅1卫	75平米	简单装修	1/7	南北	1998年	2400元/平米
南环三室两厅24万5		巩义市区-周边	住宅	3室2厅1卫	118平米	简单装修	6/7	南北	2000年	2076元/平米
售建业31楼3室2厅2卫	建业壹号城邦	巩义东区-中心	住宅	3室2厅2卫	124平米	毛坯	31/33	南北	2016年	6976元/平米
龙泉花园4室2厅150平88万	龙泉花园	巩义市区-中心	住宅	4室2厅2卫	150平米	毛坯	22/		0年	6000元/平米
恒星三期房出售3-2-2	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	131平米	毛坯	8/33	南北	0年	6718元/平米
可分期恒星皇家花园3室2厅1卫首付44万元	恒星皇家花园	巩义东区-中心	住宅	3室2厅1卫	113平米	中等装修	/		年	6637元/平米
拖厂南苑127平三室两厅报价62万首付20万即可	拖厂南苑	巩义市区-中心	住宅	3室2厅1卫	127平米	中等装修	5/6		年	4882元/平米
华树世家175平精装四室两厅报价82万首付30万	华树世家	巩义市区-中心	住宅	4室2厅2卫	175平米	中等装修	6/7		年	4686元/平米
常庄小区3层122平有房产证3室2厅1卫36万元	常庄新村	巩义市区-周边	住宅	3室2厅1卫	122平米	简单装修	3/6	南北	1995年	2951元/平米
恒星皇家花园2室1厅1卫48万元	恒星皇家花园	巩义东区-中心	公寓	2室1厅1卫	48平米	豪华装修	1/26	南	2013年	10000元/平米
建设路加油站对面非顶层房产证3室1厅1卫30万元		巩义市区-中心	住宅	3室1厅1卫	90平米	简单装修	5/6	南北	1993年	3333元/平米
翠堤湾89平小三室，一手房手续6000一平	翠堤湾	巩义市区-中心	住宅	3室1厅1卫	89平米	毛坯	中/18	南北	2014年	6067元/平米
5000一平，现代城南苑现房，两室两厅！	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	98平米	毛坯	中/18	南	2013年	5000元/平米
华树世家164平精装三室报价80万可预约分期	华树世家	巩义市区-中心	住宅	3室2厅2卫	164平米	豪华装修	6/6	南北	2008年	4878元/平米
华树世家175平精装四室两厅报价82万首付30万	华树世家	巩义市区-中心	住宅	4室2厅2卫	175平米	豪华装修	6/7	南北	2008年	4686元/平米
拖厂南苑127平三室两厅报价62万首付20万即可	拖厂南苑	巩义市区-中心	住宅	3室2厅1卫	127平米	简单装修	5/6	南北	2000年	4882元/平米
东方现代城2室2厅1卫62万元	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	94平米	中等装修	25/26	南	2010年	6596元/平米
现房入市：盛威稀有2+1通透三室！可首付！中间楼层		巩义市区-中心	住宅	3室1厅1卫	89平米	毛坯	中/18	南北	2016年	5618元/平米
出售文化街两室一厅		巩义市区-中心	住宅	2室2厅1卫	60平米	简单装修	3/4	南北	2000年	2333元/平米
东方现代城首付26万	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	90平米	毛坯	10/26	南	2010年	6778元/平米
南环三室两厅24万5		巩义市区-周边	住宅	3室2厅1卫	118平米	中等装修	6/7	南北	年	2076元/平米
开普小区北区房屋出售	开普小区北区	巩义市区-中心	住宅	3室1厅1卫	106平米	简单装修	5/6	南北	2005年	面议/平米
龙泉花园20楼150平	龙泉花园	巩义市区-中心	住宅	4室2厅2卫	150平米	毛坯	20/26	南北	2012年	6000元/平米
水峪新村复式套房低价出售		河洛镇-镇中心	住宅	4室2厅2卫	260平米	毛坯	5/6	南北	2012年	面议/平米
急售现房恒星皇家花园	恒星皇家花园	巩义东区-中心	住宅	3室2厅1卫	104平米	毛坯	1/33	南北	2014年	面议/平米
急售精装世博一品城92平方75万品牌家具家电	世博一品城	巩义东区-中心	住宅	2室2厅1卫	92平米	豪华装修	26/9		0年	8152元/平米
急售东方现代城北苑两室毛坯98平方56万	东方现代城北苑	巩义东区-中心	住宅	2室2厅1卫	98平米	毛坯	17/14		0年	5714元/平米
出售夹津口街上邮政后136平方房屋一套，简单装修，领包入住，仅需8万！！	邮政后	夹津口镇-镇中心	住宅	3室2厅1卫	136平米	简单装修	6/6	南北通透	10年	588元/平米
急售东方现代城北苑98平方，两室两厅56万		巩义东区-中心	住宅	2室2厅1卫	98平米	毛坯	14/17	南	0年	5714元/平米
龙泉花园4室2厅2卫97万元	龙泉花园	巩义市区-中心	住宅	4室2厅2卫	150平米	毛坯	20/24	南北	2014年	6467元/平米
恒星皇家花园3室2厅2卫83万元	恒星皇家花园	巩义东区-中心	住宅	3室2厅2卫	134平米	毛坯	中/26	南北	2018年	6194元/平米
东润峰景2室2厅1卫75万元	东润峰景	巩义东区-中心	住宅	2室2厅1卫	98平米	豪华装修	中/26	东南	2017年	7653元/平米
龙泉花园3室2厅1卫85万元	龙泉花园	巩义市区-中心	住宅	3室2厅1卫	130平米	中等装修	中/26	南北	2013年	6538元/平米
华树世家3室2厅2卫	华树世家	巩义市区-中心	住宅	3室2厅2卫	144平米	简单装修	3/6	南北	2005年	5694元/平米
巩义市人民西路172号救助站家属楼3室2厅1卫45万元		巩义市区-中心	住宅	3室2厅1卫	140平米	简单装修	5/7	南	2000年	3071元/平米
出售学前街二小三小旁边3室2厅套房		巩义市区-中心	住宅	3室2厅1卫	107平米	中等装修	5/7	南北	2002年	面议/平米
夹津口出售有证套房，可办理过户手续		巩义东区-中心	住宅	3室2厅1卫	114平米	简单装修	3/5	南北	2010年	1228元/平米
汽车站对面水务公司家属院3室一厅双气		巩义市区-中心	住宅	3室1厅1卫	102平米	毛坯	8/26	南北	2014年	4412元/平米
出售三室两厅双卫学区电梯房	锦江国际花园	巩义东区-中心	住宅	3室2厅2卫	143平米	简单装修	7/14	南北	2010年	6993元/平米
21万急售金地银座8楼精装修大标间一间40平米		巩义市区-中心	公寓	1室0厅1卫	40平米	豪华装修	8/11	东西	2010年	5250元/平米
县医院对面金城大厦8楼便宜出售	金城大厦	巩义市区-中心	住宅	3室2厅1卫	180平米	简单装修	8/16	南北	2008年	3333元/平米
巩义市体育馆安乐街电业局家属院三室一厅出售有房产证		巩义市区-中心	住宅	3室1厅1卫	98平米	简单装修	7/7	南北	2000年	2347元/平米
建业壹号城邦两室毛坯房带车位出售	建业壹号城邦	巩义东区-中心	住宅	2室2厅1卫	89平米	毛坯	14/33	南北	2016年	6966元/平米
明阳花园房屋出售	明阳花园	巩义市区-中心	住宅	5室2厅2卫	189平米	中等装修	6/6	南北	2005年	3810元/平米
桐本路二门诊后面 气象局家属院 2楼三房 有证 随时看房	明阳花园	巩义市区-中心	住宅	3室1厅1卫	99平米	简单装修	2/6	南	1998年	3030元/平米
出售清河湾87平两室现房 均价5000	清河湾	巩义市区-中心	住宅	2室2厅1卫	87平米	毛坯	低/18	南	2015年	5172元/平米
首付18万 六小分校 华树世家旁 103平双气三房 有证	拖厂南苑	巩义市区-中心	住宅	3室1厅1卫	103平米	简单装修	6/6	南北	2005年	4854元/平米
首付20万 丹尼斯 外国语小学 127平双气三房 房本在手	拖厂南苑	巩义市区-中心	住宅	3室2厅2卫	127平米	简单装修	6/6	南北	2005年	4488元/平米
出售瑞华苑三室二厅二卫简装现房	瑞华苑	巩义东区-中心	住宅	3室2厅2卫	142.1平米	简单装修	中/18	南	2012年	7037元/平米
求购市区二手房		巩义市区-中心	住宅	3室2厅1卫	1平米	简单装修	/	0	0年	面议/平米
畜牧局家属院3室2厅149平方，出售		巩义市区-中心	住宅	3室2厅1卫	149平米	简单装修	2/6		2010年	5034元/平米
首付只要25万龙泉花园3室2厅	龙泉花园	巩义市区-中心	住宅	3室2厅1卫	123平米	中等装修	/	南北向	0年	6667元/平米
出售拖厂家属楼3室21.5万元价格便宜		巩义市区-中心	住宅	3室1厅1卫	63平米	简单装修	4/5	南北向	1995年	3413元/平米
盛威·凯旋门3室1厅1卫58万元		巩义东区-中心	住宅	3室1厅1卫	93平米	毛坯	12/20	西南向	2013年	6237元/平米
煤炭公司家属楼2室2厅1卫22万元		巩义市区-中心	住宅	2室2厅1卫	75.5平米	简单装修	2/7	南北向	1998年	2914元/平米
有证！可分期！宇华232平五室两厅电梯复式！	宇华名苑	巩义东区-中心	住宅	5室2厅3卫	232平米	毛坯	6/7		2007年	6034元/平米
正大房产出售！锦江国际花园3室2厅1卫62万元	锦江国际花园	巩义东区-中心	住宅	3室2厅1卫	102平米	简单装修	中/6	朝南	2010年	6078元/平米
世博一品城89平精装两室只要61万		巩义东区-周边	住宅	2室2厅1卫	89平米	豪华装修	4/18	朝南	2015年	6854元/平米
首付27万！龙泉花园！160平精装三室！看房电联	龙泉花园	巩义市区-中心	住宅	3室2厅2卫	150平米	中等装修	中/	南北向z	2012年	6000元/平米
北山口西义兴店后教师家属院		北山口镇-镇中心	住宅	3室1厅1卫	105平米	简单装修	5/6	南北	2000年	2190元/平米
