起子AI    一本书，不一定非要专业术语满天飞才是好书。看了之后睡不着觉的才是好书。
[已注销]    垃圾啊
童话神话鬼话    600多页的英文大部头，我还以为看完会很有成就感，今早起来想到这本书啃完了，有点失落，人果然总是对未知的事物充满狂热，不过这确实是本超级好书
yunweidragon    CSS系1 CSS Q1
李守中    这书真好读，一下午扫完了（笑）
Key4ever    入门好书，力荐
ReprOldr    编排方式很新颖，外国人真的很重视“学习方法”，这正是国内很多教材的弱点，都是资料堆积，堆积的还没啥条理。翻阅之后才发现这是2005年的书！从那以后，HTML世界又发生了很大的变化，XHTML被放弃，HTML5发展起来。
顾蘑菇    人森第一本技术书，虽然是最简单的html(￣ c￣)买的时候完全不知道是英文版，不过既然是head first，也基本无障碍。讲问题的方式很适合入门，越看到后面越觉得啰嗦得不行，开始跳着看= =
神机妙算张半仙    突然间觉得 那些去创意工作室用html做做网页和flash的人 一定都是head damage→_→
ejacky    很不错的书，前端入门目前见过的最好的。
Why    一步步按照书里的例子来学习 效率是非常高的
侯三爷    如果想学HTML+CSS这是本极好的入门书箱。
刚看完，算是复习一遍。值得推荐！
ヘリ    我也就看得懂这种入门书了
Matt    很有趣生动的一本书，以星巴克的网站为例，循序渐进，在一步一步地深入地提出需求的同时，讲述html和css的功能。本书最大的启发是展示了网站设计和实现的前因后果，是一本生动的教学书，而非字典。
红咕小丁    O‘Reilly 就素神～
一条好汉    funny, interesting, and clear~
LLeung    简单易懂循序渐进适合入门
squally@洋葱@    这书读起来一点不费力啊……像玩游戏一样，不想停
童年在地图上    2012.11.27读完
HeadFirst系列还是一如既往的好~
入门不二之选啊
天空之城    非常好玩:)
Ansel    非常好的书
渭川    哈哈，抢来的书特别好
[已注销]    非常贊的入門書
candy~zZ    very useful for beginner!
Ray    入门教材
200910@BJTU
Renco    很实在的书 不过这系列的书都略过一些细节需要自己搞定
Vobscene    入门的好教材
小程    很有意思的书籍，可惜稍显啰嗦，信息量不够大，也没法当工具书。
nightfade    同前
九原客    嘛，入门之用。。不过xhtml有点古旧了
无翼鸟    一步一步引导读者，由浅入深的内容设计，此系列书籍果然不辜负它的鼎鼎大名
追月谷    啊，如此美妙的阅读体验。
Lumière    略水
Archer    作为一个零基础的Html爱好者，嚼着这本书实在是太简单了。就是太厚了，庆幸自己看的是电子版。但是这本书的思路很特别，能由浅入深让读者不厌倦的把这本书读完。
天籁梓轩    第一本 html 书籍，而且介绍了严格的 html 4.01 标准和 xhtml 1.0 标准，使得一开始就能够按照标准书写，这是非常好的习惯，并且提供了 w3c 的在线验证程序使用方法，这对于书写可以长久使用的网页非常有帮助。CSS 的讲解提住了最常见的部分，表单也在最后做了介绍。全书使用的图片非常多，最喜欢的就是每一段学习之后的问答部分，扣住了很多细节和关键之处！
淡烟清茶    对于我这样有些基础的来说，废话有点多啊
HAQ    我不太喜欢head first系列
libinzhangyuan    入门好书.
Chigo    非常有趣，非常佩服外国人写书的风格，大量的配图，以故事的方式，章章引人入胜~~
ichoyb    太爱这风格了
zhboner    很不错，很适合我这种初学者啊
[已注销]    我从这本书读懂了HTML
一只快乐的小狗    感觉不是很好
数术散人    这真的需要600页？
Ally    这书读得有点儿苦，主要是太长了，再加上要一个个例子打出来试。不过读下来还是挺扎实，讲得清楚而且编排得好，按这进度读下来正好。
yatasoft    2天书籍，适合2天补充css
Yaya|学渣·伪    巨搞笑~！
风中的阿卡丽    入门最佳，一天可以扫完，配上vim开写很high
李亚飞    一本入门 HTML, CSS 的好书
Phoenix    真正做到了深入浅出，英文版也很容易读懂
一只U盘    真是不可思议，去年快要暑假的时候突然想学点技术，于是从前端入手，HTML，CSS，javascript，这本书我竟然从头到尾读了下来，而且做了不少笔记，真是神奇。
Amir陶子    跟男朋友一起写代码，开始从最基础的学起。
柚子行    非常值得一读，入门好书
urey    好玩的书，入门
尹俊    收藏“Head”系列的时候把这本书也买下了，偶尔翻翻还是有收获的，适合有一定英文基础的网页设计初学者
annnnnnnw    这是读得第一本深入浅出系列的书籍，第一次发现原来技术书也可以写得这么有趣。因为语言的幽默，读着读着甚至会笑出来。学习也可以很快乐啊。
leoncom    虽然是e文，不过读起来很易懂而且翻起来很快
雨雾雪风    对于web入门的新手来说，这本书的相当适合快速阅读和学习，当然是英文版
卧雪浪子    Head First系列 哪一本都值得入门的人看
宇文笨兔    第一次读到这么有趣的技术类书，从此以后head first的书是买了一本又一本
狸猫酱    放弃
Hily    适合初学者
htaome    很适合入门，
首席隐身官    1刷，下次再多练习一下实例
lraeq    通俗易懂
zerosrat    浅显易懂，适合入门
